task_id,demo,T,rho
0,demo_0,98,0.5776192388858072
0,demo_1,84,0.578333502075529
0,demo_10,93,0.6111127689415414
0,demo_11,128,0.33984160410181286
0,demo_12,86,0.5286381433086467
0,demo_13,88,0.44008664717692236
0,demo_14,112,0.5995489800799535
0,demo_15,84,0.530869697276501
0,demo_16,89,0.26649642492339126
0,demo_17,97,0.793656637912897
0,demo_18,75,0.5598577524893315
0,demo_19,99,0.7726406926406926
0,demo_2,90,0.5569329546857636
0,demo_20,87,0.71158052052198
0,demo_21,121,0.19416745698414845
0,demo_22,96,0.1357569180683668
0,demo_23,85,0.6897987101817471
0,demo_24,100,0.24316831683168313
0,demo_25,91,0.6202261506609332
0,demo_26,105,-0.09429815467551317
0,demo_27,113,0.6123245059551534
0,demo_28,92,0.033660589060308554
0,demo_29,124,0.41008969315499605
0,demo_3,97,-0.18509362507889754
0,demo_30,127,0.4620594300712411
0,demo_31,151,0.37991983269431856
0,demo_32,93,0.7150040285279459
0,demo_33,111,0.6373990873990873
0,demo_35,89,0.7169050051072525
0,demo_36,102,0.5409016629818322
0,demo_38,89,0.5530643513789583
0,demo_39,108,0.4509798317566473
0,demo_4,105,0.044972009122952517
0,demo_40,95,0.5113381858902576
0,demo_41,95,0.6234322508398655
0,demo_42,109,0.46648132703178574
0,demo_43,96,0.17129679869777537
0,demo_44,88,0.5687013490190554
0,demo_45,90,0.6880437914145779
0,demo_46,85,0.5062732069572015
0,demo_47,92,0.5448422545196738
0,demo_48,96,0.41517905588714055
0,demo_49,92,0.01316215341460783
0,demo_5,134,0.5841045399568573
0,demo_6,92,0.48642941910824095
0,demo_7,92,0.22571397746713318
0,demo_8,79,0.48315481986368064
0,demo_9,89,0.5902621722846443
1,demo_0,152,-0.09836043165959307
1,demo_1,123,0.5168190788200849
1,demo_10,111,0.654966654966655
1,demo_11,117,0.46032459650227037
1,demo_12,114,0.6400882930681842
1,demo_13,125,0.3784208909370199
1,demo_14,150,0.4980008000355572
1,demo_15,128,0.6327881798205457
1,demo_16,135,0.3068432348063604
1,demo_17,113,0.6784050835052233
1,demo_18,112,0.44744080363549393
1,demo_19,125,0.3781136712749615
1,demo_2,140,0.5542498523977171
1,demo_20,162,0.6266574084658907
1,demo_21,134,0.5029763463384831
1,demo_22,132,0.6207468706464285
1,demo_23,109,0.2543971828375498
1,demo_25,143,0.623210709478315
1,demo_26,145,0.603885214926783
1,demo_27,116,0.39417983316034294
1,demo_29,120,0.5992777276199736
1,demo_30,154,0.4665516646541315
1,demo_31,120,-0.2521355649697895
1,demo_32,150,0.20264900662251656
1,demo_33,117,0.5204783527401878
1,demo_34,120,0.5674352385582331
1,demo_35,137,0.16873728228200194
1,demo_36,120,0.7797069240919506
1,demo_37,129,-0.09420840787119858
1,demo_38,143,0.7674127515676811
1,demo_39,124,0.5606294256490951
1,demo_4,142,0.4397044370074038
1,demo_40,126,-0.19721634795650544
1,demo_41,112,0.27363583558273824
1,demo_42,137,0.6101797748613885
1,demo_43,135,0.6903765486294021
1,demo_44,126,0.2359175103112111
1,demo_45,133,0.20165066669387172
1,demo_46,134,0.6759809972692927
1,demo_47,133,-0.10498770671590782
1,demo_48,141,0.28907059377541844
1,demo_49,127,0.233197412823397
1,demo_5,155,0.4890399922657987
1,demo_6,145,0.5386834147020939
1,demo_7,131,0.645481236320931
1,demo_8,152,0.5314757481940144
1,demo_9,127,0.353000796775403
2,demo_0,103,0.43891402714932126
2,demo_1,123,0.18132101997910513
2,demo_10,109,0.819942544713187
2,demo_11,101,0.4097612114152592
2,demo_12,124,0.6365507474429581
2,demo_13,122,0.2613731366957349
2,demo_14,114,0.16151556266580266
2,demo_15,136,0.6662754639568722
2,demo_16,105,0.6438938420070495
2,demo_17,164,0.561506128167807
2,demo_18,107,0.8451282352710673
2,demo_19,98,0.792692334665825
2,demo_2,122,0.7623496056123006
2,demo_20,117,0.340706439479087
2,demo_21,108,0.3554069374184267
2,demo_22,117,0.8542537727225045
2,demo_23,117,-0.01921203674564282
2,demo_24,106,0.08048467138574704
2,demo_25,117,0.6028263573558722
2,demo_26,143,0.7060885124265405
2,demo_27,125,0.19362211981566818
2,demo_28,111,0.18086170586170586
2,demo_29,110,0.8282622906476117
2,demo_3,102,0.23454207213982395
2,demo_30,115,0.11370630474236568
2,demo_31,122,0.6780593547704885
2,demo_32,119,0.03117789488676827
2,demo_33,121,0.7720972767917624
2,demo_34,131,0.18883254150429724
2,demo_35,140,0.6872099888478276
2,demo_36,121,0.7942148760330576
2,demo_37,129,0.19836203041144904
2,demo_38,114,0.38464591644559654
2,demo_39,115,0.7082774402272548
2,demo_4,111,0.7542997542997543
2,demo_40,108,0.877656787371269
2,demo_41,106,0.8767463536287378
2,demo_42,138,0.37430848719945015
2,demo_43,93,0.666109635642028
2,demo_44,100,0.10759075907590757
2,demo_45,126,0.8135133108361454
2,demo_46,125,-0.0884116743471582
2,demo_47,117,0.3423923631404636
2,demo_48,131,0.7056317728073453
2,demo_49,135,0.8291093551848602
2,demo_5,111,0.8052299052299051
2,demo_6,109,0.7930219627467335
2,demo_7,123,0.6295868749274485
2,demo_8,111,-0.31647069147069146
2,demo_9,110,-0.07705069539931925
3,demo_0,99,0.6870871985157698
3,demo_1,101,0.7249271986022131
3,demo_10,89,0.7225910793326524
3,demo_11,97,0.7511966126656847
3,demo_12,93,0.7399958222673151
3,demo_13,99,0.8049721706864563
3,demo_14,100,0.8715511551155115
3,demo_15,119,-0.04059962968238143
3,demo_16,101,0.3599883517763541
3,demo_17,94,0.7260846006574432
3,demo_19,100,0.08039603960396038
3,demo_2,95,0.04455487122060471
3,demo_20,96,0.8321486706456864
3,demo_21,96,0.7585051546391753
3,demo_22,96,0.7300732501356484
3,demo_23,97,0.6267488954344624
3,demo_24,96,0.6875339120998372
3,demo_25,98,0.7330553589758301
3,demo_26,92,0.7038361358136953
3,demo_27,101,0.7368549796156086
3,demo_28,95,0.618337066069429
3,demo_29,106,0.6071239640275083
3,demo_3,115,0.7208395802098951
3,demo_30,86,0.7465729515543186
3,demo_31,99,0.5545825602968459
3,demo_32,99,-0.10186765615337043
3,demo_33,111,0.7557827307827308
3,demo_34,89,0.7853421859039839
3,demo_35,101,0.7015142690739662
3,demo_36,92,0.7708798914970022
3,demo_37,97,0.7783636650536503
3,demo_38,97,0.6662634125815274
3,demo_39,92,0.7857990536812417
3,demo_4,103,-0.10856433686245222
3,demo_40,95,0.7976903695408734
3,demo_41,114,0.340977298961139
3,demo_42,89,-0.013619339462036095
3,demo_43,102,0.32980870902624243
3,demo_44,113,0.4722286911970192
3,demo_45,99,0.28916512059369204
3,demo_46,103,0.665312129332689
3,demo_47,90,0.740939210602132
3,demo_48,100,0.7657725772577256
3,demo_49,90,0.7862616783965097
3,demo_5,99,0.30153370439084726
3,demo_6,111,0.5178044928044927
3,demo_7,95,0.7830767077267637
3,demo_8,111,0.8438223938223937
3,demo_9,129,0.613154069767442
4,demo_0,153,0.8330652835296798
4,demo_1,142,0.9066998329809238
4,demo_10,139,0.266124491710979
4,demo_12,145,0.13399071012438984
4,demo_13,141,0.6314140160109594
